house_type,insulation_level,behaviour,r_value,window_area,surface_area,wall_thickness
terraced_houses,low,0.44224575,0.72608224,6.08289109,183,0.025
terraced_houses,medium,2.61042431,0.95303516,6.08289109,183,0.025
terraced_houses,high,0.59483274,2.20833951,6.08289109,183,0.025
corner_houses,low,1.63456613,0.86234292,5.53694918,239,0.025
corner_houses,medium,4.84495401,1.05413341,5.53694918,239,0.025
corner_houses,high,0.96159576,2.73029519,5.53694918,239,0.025
semi_detached_houses,low,1.57962902,0.92629934,5.80327128,279,0.025
semi_detached_houses,medium,4.43499574,1.20779267,5.80327128,279,0.025
semi_detached_houses,high,0.45485638,2.90413756,5.80327128,279,0.025
apartments,low,-0.11691841,0.96937942,5.53039382,187,0.025
apartments,medium,0.80467653,1.39716924,5.53039382,187,0.025
apartments,high,2.78210071,2.95000949,5.53039382,187,0.025
detached_houses,low,3.34031291,1.02227109,6.12774164,405,0.025
detached_houses,medium,7.76537119,1.2962618,6.12774164,405,0.025
detached_houses,high,2.74614981,3.10765405,6.12774164,405,0.025
