ETM_ID,ETM_CARRIER,CATEGORIZATION_A,CATEGORIZATION_B,CATEGORIZATION_C
agriculture_geothermal.input (MW),electricity,,,
agriculture_heatpump_water_water_ts_electricity.input (MW),electricity,,,
agriculture_useful_demand_electricity.input (MW),electricity,,,
buildings_appliances_electricity.input (MW),electricity,,,
buildings_cooling_airconditioning_electricity.input (MW),electricity,,,
buildings_cooling_collective_heatpump_water_water_ts_electricity.input (MW),electricity,,,
buildings_cooling_heatpump_air_water_electricity.input (MW),electricity,,,
buildings_lighting_efficient_fluorescent_electricity.input (MW),electricity,,,
buildings_lighting_led_electricity.input (MW),electricity,,,
buildings_lighting_standard_fluorescent_electricity.input (MW),electricity,,,
buildings_solar_pv_solar_radiation.output (MW),electricity,,,
buildings_space_heater_collective_heatpump_water_water_ts_electricity.input (MW),electricity,,,
buildings_space_heater_electricity.input (MW),electricity,,,
buildings_space_heater_heatpump_air_water_electricity.input (MW),electricity,,,
energy_chp_combined_cycle_network_gas.output (MW),electricity,,,
energy_chp_local_engine_biogas.output (MW),electricity,,,
energy_chp_local_engine_network_gas.output (MW),electricity,,,
energy_chp_local_wood_pellets.output (MW),electricity,,,
energy_chp_supercritical_ccs_waste_mix.output (MW),electricity,,,
energy_chp_supercritical_waste_mix.output (MW),electricity,,,
energy_chp_ultra_supercritical_coal.output (MW),electricity,,,
energy_chp_ultra_supercritical_cofiring_coal.output (MW),electricity,,,
energy_chp_ultra_supercritical_lignite.output (MW),electricity,,,
energy_cokesoven_consumption_coal_gas.input (MW),electricity,,,
energy_compressor_network_gas.input (MW),electricity,,,
energy_direct_air_capture_co2_electricity.input (MW),electricity,,,
energy_flexibility_curtailment_electricity.input (MW),electricity,,,
energy_flexibility_curtailment_electricity.output (MW),electricity,,,
energy_flexibility_hv_opac_electricity.input (MW),electricity,,,
energy_flexibility_hv_opac_electricity.output (MW),electricity,,,
energy_flexibility_mv_batteries_electricity.input (MW),electricity,,,
energy_flexibility_mv_batteries_electricity.output (MW),electricity,,,
energy_flexibility_pumped_storage_electricity.input (MW),electricity,,,
energy_flexibility_pumped_storage_electricity.output (MW),electricity,,,
energy_heat_flexibility_p2h_boiler_electricity.input (MW),electricity,,,
energy_heat_flexibility_p2h_boiler_electricity.output (MW),electricity,,,
energy_heat_flexibility_p2h_heatpump_electricity.input (MW),electricity,,,
energy_heat_flexibility_p2h_heatpump_electricity.output (MW),electricity,,,
energy_heat_heatpump_water_water_electricity.input (MW),electricity,,,
energy_heat_well_geothermal.input (MW),electricity,,,
energy_hydrogen_flexibility_p2g_electricity.input (MW),electricity,,,
energy_hydrogen_flexibility_p2g_electricity.output (MW),electricity,,,
energy_interconnector_1_exported_electricity.input (MW),electricity,,,
energy_interconnector_1_imported_electricity.output (MW),electricity,,,
energy_interconnector_2_exported_electricity.input (MW),electricity,,,
energy_interconnector_2_imported_electricity.output (MW),electricity,,,
energy_interconnector_3_exported_electricity.input (MW),electricity,,,
energy_interconnector_3_imported_electricity.output (MW),electricity,,,
energy_interconnector_4_exported_electricity.input (MW),electricity,,,
energy_interconnector_4_imported_electricity.output (MW),electricity,,,
energy_interconnector_5_exported_electricity.input (MW),electricity,,,
energy_interconnector_5_imported_electricity.output (MW),electricity,,,
energy_interconnector_6_exported_electricity.input (MW),electricity,,,
energy_interconnector_6_imported_electricity.output (MW),electricity,,,
energy_offshore_sequestration_co2_electricity.input (MW),electricity,,,
energy_power_combined_cycle_ccs_coal.output (MW),electricity,,,
